bat,intra.vary,fa
6339,0.81,36.32
7280,0.41,39
7287,0.28,38.2
10004,0.1,39.12
10019,0.23,36.74
10040,3.26,35.71
10041,0.76,35.8
10075,0.51,37.83
10105,0.35,38.81
10114,0.1,37.36
10120,0.53,39.29
10123,0.52,38.74
10127,0.32,38.74
10131,0.48,37.46
10133,0.14,40.89
10135,0.25,38.04
10139,0.34,37.72
10145,0.31,39.25
10148,0.04,37.9
10151,0.8,38.02
10153,0.43,39.79
10160,0.41,38.77
10161,0.17,37.19
10174,0.34,38.74
10181,0.5,38.78
10186,0.48,38.28
10193,1.05,38.66
10195,0.67,40.15
10196,0.2,39.96
10206,0.12,38.42
10207,0.59,38.05
10208,0.44,38.59
10209,0.83,37.44
10215,0.8,39.74
10221,0.33,37.68
10222,0.34,37.44
10229,0.27,39.39
10232,0.57,37.96
10233,0.22,39.26
10238,0.51,40.28
10239,0.6,37.17
10242,0.21,38.21
10243,0.35,38.87
10255,0.21,39.48
10260,0.25,39.44
10262,0.57,39.06
10264,0.69,40.07
10269,0.91,37.94
10273,0.26,38.83
10278,2.66,34.82
10281,0.06,39.59
10286,0.35,38.57
10287,0.18,38.06
10295,0.29,39.72
10297,0.51,39.2
10301,0.06,39.35
10307,1.27,38.64
10308,0.16,39.4
10313,0.93,39.58
10315,0.98,39.58
10318,0.07,38.64
10319,0.8,38.53
10320,0.05,39.99
10322,0.85,36.46
10325,0.08,39.5
10335,0.08,39
10336,0.58,37.99
10337,0.34,38.86
10338,0.42,38.61
10345,0.17,38.29
10346,1.16,37.92
10805,0.21,39.65
10810,0.38,37.35
10818,0.2,39.65
10820,0.46,37.68
10853,0.01,39.23
10873,0.23,37.64
10889,0.13,36.79
10890,0.19,39.63
10891,0.09,38.12
10904,0.26,37.83
10914,0.57,37.89
10921,0.95,39.16
10940,0.18,36.69
10960,0.21,37.54
10961,0.5,38.61
10962,0.15,39.62
10974,0.43,37.46
11760,0.06,38.29
11773,0.37,38.28
11792,0.71,38.69
11849,0.07,39.37
11853,0.38,40.06
11864,0.07,37.58
11868,0.03,37.36
11873,0.45,36.64
11877,0.82,37.99
11881,0.2,38.45
11882,0.73,38.61
11883,0.65,40.61
11886,0.28,36.89
11898,0.35,38.97
11899,0.35,39.17
11904,0.06,38.31
11905,0.18,38.13
11909,0.06,39.12
11913,0.09,38.17
11922,0.36,37.37
11931,0.54,35.85
11937,0.26,38.02
11939,0.68,36.62
11947,0.31,38.97
11950,3.17,38.4
11953,0.28,38.64
11962,0.69,38.84
11965,0.24,37.64
11970,0.44,38.58
11980,0.15,38.19
11984,0.53,37.58
11986,0.58,39.19
11987,0.02,39.32
11988,0.22,37.63
12007,0.36,37.72
12033,0.01,39.97
12034,0.42,37.46
12038,0.11,39.14
12042,0.37,39.45
12046,0.14,37.65
12047,0.79,37.97
12048,0.17,38.68
12052,0.53,37.65
12057,0.27,35.7
12058,0.42,37.11
12061,0.25,37.19
12063,0.35,39.85
12064,0.05,37.88
12066,0.14,37.03
12068,0.01,36.86
12069,0.17,38.88
12070,0.1,38.23
12072,0.5,38.98
12076,0.64,37.67
12078,0.19,38.22
12086,0.04,38.48
12088,0.81,37.14
12099,0.51,37.97
12102,0.73,38.46
12120,0.18,36.67
12132,0.02,39.44
12145,0.53,36.7
12166,0.05,39.05
12169,0.03,37
12172,0.43,38.75
12176,0.25,38.34
12181,0.19,38.87
12204,0.72,37.22
12214,0.23,39.35
12215,0.3,37.18
12220,0.51,37.92
12238,0.43,37.17
12239,0.68,37.51
12244,0.15,39.67
12573,0.21,38.98
12616,0.15,40.07
12627,0.11,39.33
12645,0.12,38
12670,0.02,38.25
13165,0.71,37.6
13168,0.47,38.63
13189,0.19,40.12
13197,0.39,38.69
13208,0.73,37.74
13210,0.68,39.01
13214,0.22,37.75
13220,0.17,39.43
13229,0.6,37.39
13232,0.25,38.87
13233,0.26,37.03
13236,0.33,38.9
13240,0.67,38.35
13254,0.84,37.37
13267,0.29,37.11
13274,0.72,38.75
13281,0.78,37.41
13284,0.46,37.32
13291,0.37,37.94
13294,0.73,37.92
13300,0.57,38.46
13317,1.47,37.45
13318,0.57,36.27
13354,0.47,39.15
13365,0.7,38.03
13387,0.6,38.72
13389,0.62,37.93
13391,0.69,36.94
13395,0.38,38.16
13401,1.02,37.64
13733,0.07,37.25
13740,0.09,37.96
13752,0.34,37.98
13753,0.4,36.69
13768,0.02,37.4
13784,0.08,39.17
13786,0.31,41.74
13793,0.11,38.09
13805,0.13,39.87
13807,0.1,39.73
13808,1.22,38.2
13871,0.96,38.12
13908,0.08,37.88
13926,0.45,37.62
13949,0.51,38.08
13978,0.59,38.07
